Rank,Popularity,Score,Episodes
711,2552,7.9,11
712,3002,7.9,1
713,2448,7.9,24
714,1197,7.9,1
715,886,7.9,1
716,2554,7.9,1
717,1906,7.9,1
718,369,7.9,1
719,707,7.9,12
720,3211,7.9,1
721,4864,7.9,52
722,202,7.9,26
723,1268,7.9,26
724,505,7.9,12
725,652,7.9,1
726,1348,7.9,25
727,209,7.89,12
728,667,7.89,24
729,1900,7.89,1
730,396,7.89,13
731,2315,7.89,50
732,3361,7.89,1
733,2250,7.89,2
734,1243,7.89,1
735,2934,7.89,3
736,2034,7.88,1
737,1235,7.88,1
738,5022,7.88,1
739,588,7.88,12
740,1298,7.88,12
741,2372,7.88,1
742,599,7.88,13
743,933,7.88,25
744,1744,7.88,13
745,1039,7.88,1
746,1065,7.88,12
747,2465,7.88,1
748,2872,7.88,13
749,1291,7.88,1
750,8310,7.88,1
751,3505,7.88,1
752,728,7.87,1
753,328,7.87,60
754,1400,7.87,38
755,8750,7.87,13
756,1200,7.87,2
757,1951,7.87,1
758,2594,7.87,1
759,2495,7.87,1
760,3728,7.87,52
761,3576,7.87,1
762,3829,7.87,1
763,824,7.87,2
764,2129,7.87,10
765,1169,7.87,178
766,3901,7.87,5
767,1598,7.87,6
768,2820,7.86,26
769,455,7.86,3
770,448,7.86,12
771,6250,7.86,26
772,2235,7.86,1
773,507,7.86,12
774,40,7.86,366
775,558,7.86,12
776,6009,7.86,1
777,4007,7.86,26
778,7607,7.86,1
779,159,7.86,12
780,625,7.86,12
781,935,7.86,1
782,1981,7.86,1
783,4591,7.86,4
784,4911,7.86,1
785,659,7.86,1
786,423,7.86,13
787,1586,7.86,24
788,2266,7.85,Unknown
789,3509,7.85,1
790,2300,7.85,1
791,4163,7.85,1
792,3734,7.85,13
793,636,7.85,13
794,220,7.85,167
795,375,7.85,12
796,124,7.85,13
797,1568,7.85,1
798,983,7.85,1
799,528,7.85,1
800,3264,7.85,1
801,2828,7.85,1
802,1005,7.85,12
803,1336,7.85,24
804,1242,7.85,13
805,142,7.85,12
806,1075,7.84,22
807,2565,7.84,1
808,2630,7.84,2
809,54,7.84,51
810,154,7.84,14
811,503,7.84,12
812,4626,7.84,1
813,797,7.84,13
814,5873,7.84,52
815,2102,7.84,50
816,2170,7.84,10
817,2487,7.84,1
818,3782,7.84,1
819,3910,7.84,1
820,3851,7.84,12
821,1111,7.84,26
822,1295,7.84,1
823,2707,7.84,3
824,270,7.83,12
825,4900,7.83,10
826,1462,7.83,6
827,2362,7.83,3
828,3748,7.83,10
829,3487,7.83,13
830,4958,7.83,51
831,5548,7.83,24
832,307,7.83,25
833,3752,7.83,1
834,3422,7.83,24
835,3988,7.83,1
836,2874,7.83,1
837,780,7.83,12
838,1131,7.83,12
839,4119,7.82,5
840,3041,7.82,39
841,3930,7.82,2
842,2063,7.82,3
843,2597,7.82,26
844,4295,7.82,49
845,4140,7.82,35
846,2536,7.82,1
848,91,7.82,12
849,3871,7.82,52
850,798,7.82,2
850,3592,7.82,49
851,3359,7.82,26
852,1802,7.82,1
853,3760,7.82,1
854,2599,7.81,1
855,5703,7.81,1
856,1353,7.81,25
857,4340,7.81,13
858,1160,7.81,1
859,6020,7.81,1
860,2738,7.81,1
861,4208,7.81,1
862,4861,7.81,2
863,601,7.81,12
864,484,7.81,12
865,657,7.81,1
866,2918,7.81,12
867,1502,7.81,5
868,2925,7.81,1
869,1937,7.81,1
870,5049,7.81,3
871,4018,7.81,10
872,1628,7.81,1
873,629,7.81,26
874,4947,7.81,1
875,3083,7.8,1
876,4085,7.8,1
877,743,7.8,3
878,5867,7.8,1
879,7,7.8,12
880,8881,7.8,12
881,1433,7.8,12
882,794,7.8,1
883,2791,7.8,1
884,1578,7.8,13
885,3879,7.8,7
886,3401,7.8,113
887,1515,7.8,12
888,1285,7.8,1
889,1828,7.8,1
890,5190,7.8,6
891,887,7.8,1
892,1194,7.8,26
893,1455,7.8,1
894,3527,7.8,1
895,2462,7.79,1
896,2879,7.79,1
897,3107,7.79,1
898,498,7.79,10
899,871,7.79,12
900,2267,7.79,13
901,1811,7.79,8
902,3420,7.79,155
903,2512,7.79,1
904,5085,7.79,3
905,1962,7.79,12
906,1756,7.79,12
907,2152,7.78,1
908,3814,7.78,1
909,591,7.78,11
910,3757,7.78,1
911,2467,7.78,1
912,350,7.78,1
913,8913,7.78,26
914,2622,7.78,2
915,3081,7.78,2
916,7712,7.78,1
917,4246,7.78,26
918,3061,7.78,1
919,2778,7.78,1
920,1082,7.78,1
921,277,7.78,24
922,67,7.78,13
923,3755,7.78,1
924,341,7.78,11
925,1490,7.78,13
926,4857,7.78,49
927,1058,7.78,13
928,1273,7.78,1
929,3266,7.78,1
930,818,7.78,13
931,3371,7.78,1
932,2274,7.78,12
933,292,7.77,12
934,123,7.77,10
935,499,7.77,54
936,2156,7.77,1
937,2666,7.77,1
938,907,7.77,25
939,2784,7.77,1
940,2008,7.77,1
941,4885,7.77,2
942,184,7.77,13
943,2482,7.77,13
944,4142,7.77,13
945,3395,7.77,1
946,5699,7.77,13
947,1496,7.77,8
948,2265,7.77,2
949,4095,7.77,26
950,5211,7.77,1
951,3297,7.77,1
952,1554,7.76,43
953,3584,7.76,1
954,1239,7.76,50
955,153,7.76,13
956,858,7.76,161
957,551,7.76,64
958,6712,7.76,16
959,4114,7.76,1
960,8703,7.76,1
961,898,7.76,22
962,3987,7.76,1
963,5686,7.76,26
964,4237,7.76,13
965,4503,7.76,1
966,2555,7.76,1787
967,2035,7.76,12
968,4035,7.76,1
969,2368,7.76,11
970,2569,7.76,1
971,4650,7.76,373
972,3373,7.76,39
973,1207,7.76,1
974,1770,7.75,10
975,64,7.75,13
976,271,7.75,26
977,2147,7.75,Unknown
978,2176,7.75,1
979,3251,7.75,1
980,4693,7.75,50
981,141,7.75,24
982,2224,7.75,25
983,2544,7.75,1
984,3216,7.75,1
985,1085,7.75,12
986,1145,7.75,12
987,3551,7.75,1
988,2779,7.75,3
989,2759,7.75,12
990,1155,7.75,13
991,329,7.75,22
992,343,7.75,12
993,5748,7.75,1
994,2401,7.75,25
995,3574,7.75,1
996,1500,7.75,12
997,516,7.74,23
998,833,7.74,1
999,3482,7.74,6
1000,1139,7.74,114
1001,1590,7.74,12
1002,3347,7.74,45
1003,5084,7.74,1
